codigo_departamento,departamento,anno,cantidad
54,NORTE DE SANTANDER,2014,0.487
63,QUINDÍO,2014,0.497
66,RISARALDA,2014,0.498
68,SANTANDER,2014,0.497
70,SUCRE,2014,0.475
73,TOLIMA,2014,0.511
76,VALLE DEL CAUCA,2014,0.488
00,Nación,2014,0.538
81,ARAUCA,2014,0.598
85,CASANARE,2014,0.598
86,PUTUMAYO,2014,0.598
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2014,0.538
91,AMAZONAS,2014,0.598
94,GUAINÍA,2014,0.598
95,GUAVIARE,2014,0.598
97,VAUPÉS,2014,0.598
99,VICHADA,2014,0.598
05,ANTIOQUIA,2015,0.521
08,ATLÁNTICO,2015,0.44
11,"BOGOTÁ, D.C.",2015,0.498
13,BOLÍVAR,2015,0.489
15,BOYACÁ,2015,0.536
17,CALDAS,2015,0.512
18,CAQUETÁ,2015,0.483
19,CAUCA,2015,0.524
20,CESAR,2015,0.479
27,CHOCÓ,2015,0.598
23,CÓRDOBA,2015,0.465
25,CUNDINAMARCA,2015,0.438
41,HUILA,2015,0.536
44,LA GUAJIRA,2015,0.551
47,MAGDALENA,2015,0.477
50,META,2015,0.47
52,NARIÑO,2015,0.497
54,NORTE DE SANTANDER,2015,0.473
63,QUINDÍO,2015,0.494
66,RISARALDA,2015,0.461
68,SANTANDER,2015,0.471
70,SUCRE,2015,0.47
73,TOLIMA,2015,0.505
76,VALLE DEL CAUCA,2015,0.479
00,Nación,2015,0.522
81,ARAUCA,2015,0.598
85,CASANARE,2015,0.598
86,PUTUMAYO,2015,0.598
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2015,0.522
91,AMAZONAS,2015,0.598
94,GUAINÍA,2015,0.598
95,GUAVIARE,2015,0.598
97,VAUPÉS,2015,0.598
99,VICHADA,2015,0.598
05,ANTIOQUIA,2016,0.508
08,ATLÁNTICO,2016,0.432
11,"BOGOTÁ, D.C.",2016,0.499
13,BOLÍVAR,2016,0.48
15,BOYACÁ,2016,0.53
17,CALDAS,2016,0.51
18,CAQUETÁ,2016,0.47
19,CAUCA,2016,0.506
20,CESAR,2016,0.472
27,CHOCÓ,2016,0.574
23,CÓRDOBA,2016,0.46
25,CUNDINAMARCA,2016,0.439
41,HUILA,2016,0.532
