codigo_municipio,anno,cantidad,delito
05044,2023,4,6
05044,2023,6,7
05045,2011,1,1
05045,2013,3,3
05045,2014,1,1
05045,2015,1,1
05045,2016,1,1
05045,2016,2,3
05045,2017,2,1
05045,2017,1,3
05045,2018,1,1
05045,2018,3,3
05045,2019,4,1
05045,2020,3,1
05045,2020,60,2
05045,2020,81,6
05045,2020,115,7
05045,2021,2,1
05045,2021,79,2
05045,2021,118,7
05045,2022,4,1
05045,2022,99,2
05045,2022,74,6
05045,2022,365,7
05045,2023,3,1
05045,2023,144,2
05045,2023,2,3
05045,2023,133,6
05045,2023,271,7
05045,2024,9,2
05045,2024,5,6
05045,2024,14,7
05051,2017,2,3
05051,2019,1,3
05051,2020,1,2
05051,2020,5,6
05051,2020,1,7
05051,2021,1,1
05051,2021,1,2
05051,2021,1,7
05051,2022,5,2
05051,2022,2,6
05051,2022,2,7
05051,2023,1,1
05051,2023,9,2
05051,2023,4,6
05051,2023,8,7
05051,2024,1,6
05055,2015,1,3
05055,2016,1,3
05055,2017,1,3
05055,2020,1,3
05055,2020,1,7
05055,2021,1,2
05055,2021,4,7
05055,2022,1,2
05055,2022,3,6
05055,2022,2,7
05055,2023,1,2
05055,2023,5,6
05055,2023,2,7
05055,2024,1,7
05059,2017,1,1
05059,2018,1,1
05059,2020,3,6
05059,2020,1,7
05059,2021,1,7
05059,2022,5,6
05059,2022,2,7
05059,2023,1,2
05059,2023,2,6
05059,2023,1,7
05079,2010,6,1
05079,2010,8,5
05079,2011,9,1
05079,2011,1,3
05079,2011,6,5
05079,2012,10,1
05079,2012,5,3
05079,2012,10,5
05079,2013,17,1
05079,2013,4,3
05079,2013,16,5
05079,2014,6,1
05079,2014,3,3
05079,2014,4,5
05079,2015,10,1
05079,2015,5,3
05079,2015,4,5
05079,2016,8,1
05079,2016,7,3
05079,2017,8,1
05079,2017,7,3
05079,2017,12,5
05079,2018,3,1
05079,2018,3,3
05079,2019,13,1
05079,2019,3,3
05079,2019,8,5
05079,2020,10,1
05079,2020,21,2
05079,2020,4,3
05079,2020,8,5
05079,2020,44,6
05079,2020,32,7
05079,2021,9,1
05079,2021,40,2
05079,2021,3,3
05079,2021,4,5
05079,2021,45,7
05079,2022,11,1
05079,2022,47,2
05079,2022,2,3
05079,2022,29,6
05079,2022,65,7
05079,2023,1,1
05079,2023,47,2
05079,2023,6,3
05079,2023,41,6
05079,2023,50,7
05079,2024,4,2
05079,2024,2,3
05079,2024,1,6
05079,2024,4,7
05086,2014,2,3
05086,2015,2,3
05086,2018,1,3
05086,2019,1,1
05086,2019,2,3
05086,2020,1,3
05086,2020,3,6
05086,2020,3,7
05086,2021,1,7
05086,2022,4,2
05086,2022,2,7
05086,2023,4,2
05086,2023,2,3
05086,2023,1,6
05086,2023,4,7
05088,2010,136,1
05088,2010,2,3
05088,2010,58,5
05088,2011,194,1
05088,2011,34,5
05088,2012,208,1
05088,2012,1,3
05088,2012,18,5
05088,2013,224,1
05088,2013,1,3
05088,2013,4,4
05088,2013,38,5
05088,2014,182,1
05088,2014,2,3
05088,2014,6,5
05088,2015,159,1
05088,2015,6,3
05088,2015,2,4
05088,2015,8,5
05088,2016,124,1
05088,2016,5,3
05088,2016,12,4
05088,2016,12,5
05088,2017,153,1
05088,2017,7,3
05088,2017,6,5
05088,2018,200,1
05088,2018,1,3
05088,2018,2,4
05088,2018,6,5
05088,2019,226,1
05088,2019,2,3
05088,2019,2,5
05088,2020,162,1
05088,2020,464,2
05088,2020,4,3
05088,2020,4,5
05088,2020,431,6
05088,2020,200,7
05088,2021,194,1
05088,2021,536,2
05088,2021,4,4
05088,2021,2,5
05088,2021,2,6
05088,2021,199,7
05088,2022,233,1
05088,2022,668,2
05088,2022,2,3
05088,2022,2,4
05088,2022,322,6
05088,2022,338,7
05088,2023,98,1
05088,2023,888,2
05088,2023,1,3
05088,2023,10,5
05088,2023,481,6
05088,2023,368,7
05088,2024,19,1
05088,2024,64,2
05088,2024,19,6
05088,2024,14,7
05091,2019,1,3
05091,2020,1,2
05091,2020,3,6
05091,2020,3,7
05091,2021,2,2
05091,2021,2,7
05091,2022,2,2
05091,2022,5,6
05091,2022,14,7
05091,2023,13,2
05091,2023,4,6
05091,2023,15,7
05093,2014,1,3
05093,2015,1,3
05093,2017,1,3
05093,2018,1,3
05093,2019,3,3
05093,2020,2,2
05093,2020,4,6
05093,2020,3,7
05093,2021,4,2
05093,2021,1,3
05093,2021,6,7
05093,2022,7,2
05093,2022,1,3
05093,2022,2,5
05093,2022,2,6
05093,2022,7,7
05093,2023,13,2
05093,2023,1,3
05093,2023,3,6
05093,2023,4,7
05101,2011,1,1
05101,2012,1,1
05101,2012,2,5
05101,2014,1,3
05101,2015,3,3
05101,2015,2,4
05101,2016,2,3
05101,2017,4,1
05101,2018,1,1
05101,2018,1,3
05101,2018,2,4
05101,2019,6,1
05101,2019,1,3
05101,2020,2,1
05101,2020,5,2
05101,2020,2,4
05101,2020,16,6
05101,2020,4,7
05101,2021,2,2
05101,2021,9,7
05101,2022,9,2
05101,2022,4,3
05101,2022,11,6
05101,2022,11,7
05101,2023,1,1
05101,2023,15,2
05101,2023,1,3
05101,2023,20,6
05101,2023,12,7
05101,2024,2,7
05107,2014,1,3
05107,2015,1,3
05107,2019,1,1
05107,2019,2,5
