codigo_municipio,anno,cantidad,delito,codigo_departamento,poblacion,indice
05002,2015,35,14,05,20718.0,168.94
05002,2015,6,15,05,20718.0,28.96
05002,2016,1,3,05,20534.0,4.87
05002,2016,23,8,05,20534.0,112.01
05002,2016,7,9,05,20534.0,34.09
05002,2016,19,11,05,20534.0,92.53
05002,2016,59,14,05,20534.0,287.33
05002,2016,15,15,05,20534.0,73.05
05002,2017,1,1,05,20437.0,4.89
05002,2017,5,3,05,20437.0,24.47
05002,2017,2,5,05,20437.0,9.79
05002,2017,19,8,05,20437.0,92.97
05002,2017,2,9,05,20437.0,9.79
05002,2017,17,11,05,20437.0,83.18
05002,2017,39,14,05,20437.0,190.83
05002,2017,16,15,05,20437.0,78.29
05002,2018,8,3,05,20367.0,39.28
05002,2018,16,8,05,20367.0,78.56
05002,2018,5,9,05,20367.0,24.55
05002,2018,11,11,05,20367.0,54.01
05002,2018,42,14,05,20367.0,206.22
05002,2018,22,15,05,20367.0,108.02
05002,2019,1,1,05,20258.0,4.94
05002,2019,1,3,05,20258.0,4.94
05002,2019,16,8,05,20258.0,78.98
05002,2019,4,9,05,20258.0,19.75
05002,2019,16,11,05,20258.0,78.98
05002,2019,14,14,05,20258.0,69.11
05002,2019,15,15,05,20258.0,74.04
05004,2017,1,3,05,2652.0,37.71
05004,2017,1,9,05,2652.0,37.71
05004,2017,1,11,05,2652.0,37.71
05004,2017,2,15,05,2652.0,75.41
05004,2018,1,3,05,2695.0,37.11
05021,2013,1,3,05,4672.0,21.4
05021,2013,1,9,05,4672.0,21.4
05021,2013,3,14,05,4672.0,64.21
05021,2015,1,3,05,4680.0,21.37
05021,2015,9,8,05,4680.0,192.31
05021,2015,1,9,05,4680.0,21.37
05021,2015,8,11,05,4680.0,170.94
05021,2015,11,14,05,4680.0,235.04
05021,2015,2,15,05,4680.0,42.74
05021,2018,2,3,05,4657.0,42.95
05021,2018,5,8,05,4657.0,107.37
05021,2018,4,11,05,4657.0,85.89
05021,2018,3,14,05,4657.0,64.42
05021,2018,2,15,05,4657.0,42.95
05021,2019,1,3,05,4669.0,21.42
05021,2019,1,8,05,4669.0,21.42
05021,2019,5,11,05,4669.0,107.09
05021,2019,17,14,05,4669.0,364.1
05021,2019,10,15,05,4669.0,214.18
05030,2011,4,1,05,28354.0,14.11
05030,2011,3,8,05,28354.0,10.58
05030,2011,17,9,05,28354.0,59.96
05030,2011,8,14,05,28354.0,28.21
05030,2011,1,15,05,28354.0,3.53
05030,2012,2,1,05,28482.0,7.02
05030,2012,1,3,05,28482.0,3.51
05030,2012,2,5,05,28482.0,7.02
05030,2012,11,8,05,28482.0,38.62
05030,2012,26,9,05,28482.0,91.29
05030,2012,4,11,05,28482.0,14.04
05030,2012,32,14,05,28482.0,112.35
05030,2012,2,15,05,28482.0,7.02
05030,2013,2,1,05,28780.0,6.95
05030,2013,4,5,05,28780.0,13.9
05030,2013,1,8,05,28780.0,3.47
05030,2013,25,9,05,28780.0,86.87
05030,2013,12,11,05,28780.0,41.7
05030,2013,7,14,05,28780.0,24.32
05030,2013,2,15,05,28780.0,6.95
05030,2015,2,1,05,29136.0,6.86
05030,2015,1,3,05,29136.0,3.43
05030,2015,17,8,05,29136.0,58.35
05030,2015,8,9,05,29136.0,27.46
05030,2015,37,11,05,29136.0,126.99
05030,2015,65,14,05,29136.0,223.09
05030,2015,12,15,05,29136.0,41.19
05030,2016,2,1,05,29394.0,6.8
05030,2016,44,8,05,29394.0,149.69
05030,2016,9,9,05,29394.0,30.62
05030,2016,52,11,05,29394.0,176.91
05030,2016,136,14,05,29394.0,462.68
05030,2016,21,15,05,29394.0,71.44
05030,2017,3,3,05,29663.0,10.11
05030,2017,33,8,05,29663.0,111.25
05030,2017,13,9,05,29663.0,43.83
05030,2017,57,11,05,29663.0,192.16
05030,2017,130,14,05,29663.0,438.26
05030,2017,33,15,05,29663.0,111.25
05030,2018,2,3,05,30227.0,6.62
05030,2018,30,8,05,30227.0,99.25
05030,2018,5,9,05,30227.0,16.54
05030,2018,27,11,05,30227.0,89.32
05030,2018,1,13,05,30227.0,3.31
05030,2018,98,14,05,30227.0,324.21
05030,2018,21,15,05,30227.0,69.47
05030,2019,1,1,05,30777.0,3.25
05030,2019,51,8,05,30777.0,165.71
05030,2019,15,9,05,30777.0,48.74
05030,2019,20,11,05,30777.0,64.98
05030,2019,79,14,05,30777.0,256.69
05030,2019,16,15,05,30777.0,51.99
05031,2013,1,3,05,24548.0,4.07
05031,2013,2,8,05,24548.0,8.15
05031,2013,11,9,05,24548.0,44.81
05031,2013,1,11,05,24548.0,4.07
05031,2013,2,13,05,24548.0,8.15
05031,2013,4,14,05,24548.0,16.29
05031,2015,2,1,05,24951.0,8.02
05031,2015,1,3,05,24951.0,4.01
05031,2015,2,4,05,24951.0,8.02
05031,2015,32,8,05,24951.0,128.25
05031,2015,15,9,05,24951.0,60.12
05031,2015,42,11,05,24951.0,168.33
05031,2015,57,14,05,24951.0,228.45
05031,2015,10,15,05,24951.0,40.08
05031,2017,2,3,05,25518.0,7.84
05031,2017,28,8,05,25518.0,109.73
05031,2017,4,9,05,25518.0,15.68
05031,2017,26,11,05,25518.0,101.89
05031,2017,80,14,05,25518.0,313.5
05031,2017,17,15,05,25518.0,66.62
05031,2018,1,1,05,25962.0,3.85
05031,2018,4,3,05,25962.0,15.41
05031,2018,39,8,05,25962.0,150.22
05031,2018,8,9,05,25962.0,30.81
05031,2018,17,11,05,25962.0,65.48
05031,2018,54,14,05,25962.0,208.0
05031,2018,17,15,05,25962.0,65.48
05031,2019,3,3,05,26552.0,11.3
05031,2019,19,8,05,26552.0,71.56
05031,2019,15,9,05,26552.0,56.49
05031,2019,20,11,05,26552.0,75.32
05031,2019,54,14,05,26552.0,203.37
05031,2019,18,15,05,26552.0,67.79
05034,2011,1,1,05,42173.0,2.37
05034,2011,10,3,05,42173.0,23.71
05034,2011,28,8,05,42173.0,66.39
05034,2011,15,9,05,42173.0,35.57
05034,2011,2,11,05,42173.0,4.74
05034,2011,9,14,05,42173.0,21.34
05034,2014,2,1,05,42393.0,4.72
05034,2014,2,3,05,42393.0,4.72
05034,2014,13,8,05,42393.0,30.67
05034,2014,31,9,05,42393.0,73.13
05034,2014,25,11,05,42393.0,58.97
05034,2014,42,14,05,42393.0,99.07
05034,2014,3,15,05,42393.0,7.08
05034,2015,2,1,05,42505.0,4.71
05034,2015,1,3,05,42505.0,2.35
05034,2015,30,8,05,42505.0,70.58
05034,2015,25,9,05,42505.0,58.82
05034,2015,130,11,05,42505.0,305.85
05034,2015,112,14,05,42505.0,263.5
05034,2015,9,15,05,42505.0,21.17
05034,2016,2,1,05,42683.0,4.69
05034,2016,1,3,05,42683.0,2.34
05034,2016,42,8,05,42683.0,98.4
05034,2016,23,9,05,42683.0,53.89
05034,2016,117,11,05,42683.0,274.11
05034,2016,170,14,05,42683.0,398.29
05034,2016,23,15,05,42683.0,53.89
05034,2017,1,1,05,42817.0,2.34
05034,2017,2,3,05,42817.0,4.67
05034,2017,35,8,05,42817.0,81.74
05034,2017,29,9,05,42817.0,67.73
05034,2017,83,11,05,42817.0,193.85
05034,2017,144,14,05,42817.0,336.32
05034,2017,36,15,05,42817.0,84.08
05034,2018,1,1,05,43269.0,2.31
05034,2018,1,3,05,43269.0,2.31
05034,2018,43,8,05,43269.0,99.38
05034,2018,43,9,05,43269.0,99.38
05034,2018,104,11,05,43269.0,240.36
05034,2018,149,14,05,43269.0,344.36
05034,2018,48,15,05,43269.0,110.93
05034,2019,1,1,05,43713.0,2.29
05034,2019,4,3,05,43713.0,9.15
05034,2019,36,8,05,43713.0,82.36
05034,2019,34,9,05,43713.0,77.78
05034,2019,57,11,05,43713.0,130.4
05034,2019,101,14,05,43713.0,231.05
05034,2019,36,15,05,43713.0,82.36
05036,2015,1,3,05,5796.0,17.25
05036,2015,3,8,05,5796.0,51.76
05036,2015,4,9,05,5796.0,69.01
05036,2015,12,11,05,5796.0,207.04
05036,2015,11,14,05,5796.0,189.79
05036,2015,2,15,05,5796.0,34.51
05036,2016,1,3,05,5781.0,17.3
05036,2016,7,8,05,5781.0,121.09
05036,2016,5,9,05,5781.0,86.49
05036,2016,12,11,05,5781.0,207.58
